Transaction_ID,Date,Time,Amount,Description,Merchant,Category
TX0104,2024-12-07,22:42:00,24.91,Dinner at restaurant,Subway,Food & Beverage
TX0105,2024-12-01,18:11:00,222.6,Monthly bill payment,Mobile Carrier,Bills
TX0106,2025-01-21,15:35:00,43.55,Bulk food items,Walmart,Groceries
TX0107,2024-10-10,18:09:00,467.83,Health supplement,Local Clinic,Healthcare
TX0108,2024-04-12,12:58:00,28.23,Streaming subscription,Spotify,Entertainment
TX0109,2024-07-13,12:16:00,16.35,Ride fare,Uber,Transportation
TX0110,2024-07-17,18:17:00,31.16,Bus ticket,Lyft,Transportation
TX0111,2024-12-03,18:07:00,104.61,Lunch meal,Starbucks,Food & Beverage
TX0112,2024-06-24,20:28:00,158.1,Bulk food items,Target,Groceries
TX0113,2025-03-18,15:57:00,56.98,Movie tickets,Netflix,Entertainment
TX0114,2024-09-16,20:53:00,161.25,Bulk food items,Costco,Groceries
TX0115,2024-04-04,20:14:00,273.5,Health supplement,Local Clinic,Healthcare
TX0116,2025-02-10,20:14:00,14.85,Lunch meal,Dunkin,Food & Beverage
TX0117,2024-06-27,22:48:00,81.18,Concert tickets,AMC Theatres,Entertainment
TX0118,2024-04-12,18:19:00,22.61,Ride fare,Local Transit,Transportation
TX0119,2024-07-31,20:44:00,15.32,Lunch meal,McDonalds,Food & Beverage
TX0120,2024-11-04,15:02:00,186.28,Supermarket shopping,Walmart,Groceries
TX0121,2024-05-11,20:30:00,40.05,Ride fare,Local Transit,Transportation
TX0122,2024-07-26,12:06:00,24.29,Bus ticket,Lyft,Transportation
TX0123,2025-03-22,20:51:00,135.64,Internet bill,Mobile Carrier,Bills
TX0124,2024-09-13,22:54:00,114.09,Grocery store purchase,Walmart,Groceries
TX0125,2024-04-27,20:52:00,29.56,Lunch meal,Subway,Food & Beverage
TX0126,2024-11-24,15:47:00,61.23,Pharmacy purchase,Walgreens,Healthcare
TX0127,2024-04-01,20:19:00,14.39,Bus ticket,Uber,Transportation
TX0128,2024-07-25,18:44:00,251.81,Internet bill,Internet Provider,Bills
TX0129,2025-03-11,15:33:00,237.3,Internet bill,Mobile Carrier,Bills
TX0130,2024-06-09,18:43:00,373.24,Internet bill,Internet Provider,Bills
TX0131,2024-12-28,20:54:00,163.91,Electricity bill,Local Utility,Bills
TX0132,2024-05-15,15:39:00,49.34,Movie tickets,Netflix,Entertainment
TX0133,2025-02-03,18:47:00,272.25,Electricity bill,Local Utility,Bills
TX0134,2025-03-06,20:15:00,199.9,Health supplement,CVS Pharmacy,Healthcare
TX0135,2024-10-31,20:07:00,21.34,Ride fare,Lyft,Transportation
TX0136,2025-02-04,12:31:00,124.94,Supermarket shopping,Target,Groceries
TX0137,2024-04-03,20:17:00,82.74,Supermarket shopping,Target,Groceries
TX0138,2024-09-17,12:53:00,78.09,Monthly bill payment,Local Utility,Bills
TX0139,2024-07-09,12:04:00,184.59,Bulk food items,Costco,Groceries
TX0140,2024-07-08,15:03:00,90.57,Supermarket shopping,Target,Groceries
TX0141,2025-03-21,20:46:00,19.63,Coffee purchase,Starbucks,Food & Beverage
TX0142,2024-09-26,18:59:00,479.64,Doctor appointment fee,Walgreens,Healthcare
TX0143,2025-01-29,22:33:00,49.44,Bus ticket,Local Transit,Transportation
TX0144,2024-06-12,15:41:00,46.23,Grocery store purchase,Target,Groceries
TX0145,2024-04-08,20:40:00,178.92,Supermarket shopping,Costco,Groceries
TX0146,2024-04-03,20:01:00,7.13,Dinner at restaurant,Starbucks,Food & Beverage
TX0147,2024-12-30,22:26:00,170.85,Bulk food items,Costco,Groceries
TX0148,2024-12-25,20:18:00,7.83,Coffee purchase,McDonalds,Food & Beverage
TX0149,2024-05-23,15:55:00,11.95,Dinner at restaurant,Subway,Food & Beverage
TX0150,2024-09-09,18:44:00,23.73,Streaming subscription,Spotify,Entertainment
TX0151,2024-07-01,22:24:00,157.74,Electricity bill,Mobile Carrier,Bills
TX0152,2024-04-23,22:56:00,155.03,Supermarket shopping,Costco,Groceries
TX0153,2024-10-28,12:42:00,78.55,Streaming subscription,Netflix,Entertainment
TX0154,2024-05-09,15:47:00,445.05,Doctor appointment fee,Local Clinic,Healthcare
TX0155,2024-09-29,22:37:00,105.1,Streaming subscription,AMC Theatres,Entertainment
TX0156,2024-03-31,15:01:00,49.6,Ride fare,Uber,Transportation
TX0157,2024-07-05,22:25:00,42.64,Ride fare,Local Transit,Transportation
TX0158,2024-08-26,12:46:00,11.45,Movie tickets,Spotify,Entertainment
TX0159,2024-11-27,18:42:00,34.92,Taxi service,Local Transit,Transportation
TX0160,2024-10-29,12:30:00,75.76,Streaming subscription,AMC Theatres,Entertainment
TX0161,2025-02-27,08:02:00,78.81,Movie tickets,Spotify,Entertainment
TX0162,2024-12-01,22:01:00,65.58,Concert tickets,Netflix,Entertainment
TX0163,2024-12-02,18:58:00,478.51,Health supplement,Local Clinic,Healthcare
TX0164,2024-09-04,20:18:00,42.59,Bus ticket,Lyft,Transportation
TX0165,2025-01-24,18:35:00,103.53,Bulk food items,Target,Groceries
TX0166,2024-06-20,20:44:00,24.85,Ride fare,Lyft,Transportation
TX0167,2024-12-28,08:23:00,130.94,Internet bill,Mobile Carrier,Bills
TX0168,2025-01-06,12:53:00,29.91,Dinner at restaurant,Dunkin,Food & Beverage
TX0169,2025-03-10,18:30:00,380.67,Health supplement,CVS Pharmacy,Healthcare
TX0170,2025-01-13,18:57:00,8.73,Taxi service,Uber,Transportation
TX0171,2025-01-22,08:33:00,370.46,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0172,2024-09-25,20:58:00,187.85,Grocery store purchase,Walmart,Groceries
TX0173,2025-01-08,15:06:00,20.74,Ride fare,Local Transit,Transportation
TX0174,2024-08-23,18:25:00,463.7,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0175,2024-07-28,12:13:00,57.43,Bulk food items,Costco,Groceries
TX0176,2025-02-26,15:29:00,243.49,Health supplement,CVS Pharmacy,Healthcare
TX0177,2025-02-25,22:51:00,17.27,Ride fare,Lyft,Transportation
TX0178,2025-02-11,20:29:00,50.99,Monthly bill payment,Mobile Carrier,Bills
TX0179,2025-01-15,18:43:00,39.77,Bus ticket,Lyft,Transportation
TX0180,2024-04-10,20:26:00,163.61,Grocery store purchase,Costco,Groceries
TX0181,2024-09-24,20:52:00,28.24,Taxi service,Uber,Transportation
TX0182,2024-07-25,18:49:00,138.54,Internet bill,Internet Provider,Bills
TX0183,2024-07-03,18:09:00,16.41,Taxi service,Lyft,Transportation
TX0184,2024-05-18,12:23:00,63.98,Bus ticket,Lyft,Transportation
TX0185,2024-09-01,12:26:00,84.3,Movie tickets,Netflix,Entertainment
TX0186,2024-11-22,12:11:00,149.4,Supermarket shopping,Walmart,Groceries
TX0187,2025-01-24,12:02:00,12.54,Taxi service,Uber,Transportation
TX0188,2024-11-04,20:07:00,10.42,Lunch meal,McDonalds,Food & Beverage
TX0189,2024-07-18,20:58:00,604.5,Monthly bill payment,Internet Provider,Bills
TX0190,2024-06-28,15:06:00,204.58,Health supplement,Walgreens,Healthcare
TX0191,2025-03-15,18:40:00,314.7,Health supplement,CVS Pharmacy,Healthcare
TX0192,2024-07-21,18:44:00,318.54,Monthly bill payment,Local Utility,Bills
TX0193,2025-01-14,20:43:00,18.1,Coffee purchase,Dunkin,Food & Beverage
TX0194,2025-01-29,20:14:00,49.59,Bus ticket,Uber,Transportation
TX0195,2024-07-13,18:09:00,51.96,Bus ticket,Uber,Transportation
TX0196,2025-02-27,15:29:00,53.42,Internet bill,Local Utility,Bills
TX0197,2024-06-25,22:14:00,11.05,Dinner at restaurant,Dunkin,Food & Beverage
TX0198,2025-03-29,20:14:00,27.26,Ride fare,Lyft,Transportation
TX0199,2025-03-07,20:13:00,73.24,Monthly bill payment,Local Utility,Bills
TX0200,2024-09-24,20:55:00,177.86,Internet bill,Mobile Carrier,Bills
TX0201,2024-11-24,12:10:00,32.06,Bus ticket,Lyft,Transportation
TX0202,2024-12-11,20:59:00,429.5,Health supplement,Local Clinic,Healthcare
TX0203,2024-06-06,20:43:00,75.72,Health supplement,CVS Pharmacy,Healthcare
TX0204,2024-10-28,08:03:00,135.28,Internet bill,Mobile Carrier,Bills
TX0205,2024-04-20,20:25:00,13.37,Bus ticket,Uber,Transportation
TX0206,2024-05-29,20:06:00,123.97,Bulk food items,Walmart,Groceries
TX0207,2025-02-26,20:37:00,10.69,Dinner at restaurant,Subway,Food & Beverage
TX0208,2024-05-01,18:52:00,152.92,Pharmacy purchase,Local Clinic,Healthcare
TX0209,2024-11-22,08:22:00,71.72,Internet bill,Mobile Carrier,Bills
TX0210,2024-10-09,15:32:00,54.2,Internet bill,Local Utility,Bills
TX0211,2024-04-06,08:38:00,127.93,Internet bill,Internet Provider,Bills
TX0212,2024-12-31,15:10:00,6.46,Dinner at restaurant,Dunkin,Food & Beverage
TX0213,2024-05-06,20:28:00,13.8,Dinner at restaurant,Subway,Food & Beverage
TX0214,2024-06-20,18:35:00,34.69,Bus ticket,Uber,Transportation
TX0215,2024-10-20,12:14:00,41.55,Taxi service,Uber,Transportation
TX0216,2024-04-29,12:02:00,51.58,Monthly bill payment,Internet Provider,Bills
TX0217,2024-08-03,18:26:00,148.62,Supermarket shopping,Target,Groceries
TX0218,2025-01-01,15:02:00,411.43,Health supplement,Walgreens,Healthcare
TX0219,2024-10-19,22:31:00,12.72,Lunch meal,Dunkin,Food & Beverage
TX0220,2025-01-17,12:44:00,66.49,Concert tickets,AMC Theatres,Entertainment
TX0221,2024-08-07,20:58:00,67.7,Movie tickets,Netflix,Entertainment
TX0222,2024-06-10,20:02:00,432.35,Health supplement,Local Clinic,Healthcare
TX0223,2025-02-20,18:22:00,296.46,Electricity bill,Local Utility,Bills
TX0224,2025-02-01,18:15:00,188.96,Supermarket shopping,Target,Groceries
TX0225,2024-04-08,15:48:00,189.09,Bulk food items,Target,Groceries
TX0226,2024-04-02,12:15:00,399.74,Health supplement,Walgreens,Healthcare
TX0227,2024-04-13,15:26:00,197.13,Internet bill,Internet Provider,Bills
TX0228,2024-07-26,20:08:00,6.31,Lunch meal,Starbucks,Food & Beverage
TX0229,2024-11-19,12:58:00,57.58,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0230,2025-03-26,12:53:00,99.24,Monthly bill payment,Mobile Carrier,Bills
TX0231,2025-02-15,12:03:00,32.25,Coffee purchase,Subway,Food & Beverage
TX0232,2024-08-09,22:18:00,16.82,Coffee purchase,McDonalds,Food & Beverage
TX0233,2025-03-14,18:29:00,379.85,Doctor appointment fee,Local Clinic,Healthcare
TX0234,2024-04-30,18:24:00,149.69,Internet bill,Mobile Carrier,Bills
TX0235,2024-05-30,20:48:00,34.02,Taxi service,Local Transit,Transportation
TX0236,2024-12-10,18:08:00,55.96,Streaming subscription,Spotify,Entertainment
TX0237,2024-11-05,20:23:00,192.03,Monthly bill payment,Local Utility,Bills
TX0238,2025-02-08,15:55:00,50.48,Streaming subscription,AMC Theatres,Entertainment
TX0239,2024-07-26,12:29:00,28.22,Lunch meal,Dunkin,Food & Beverage
TX0240,2024-05-30,20:14:00,136.1,Health supplement,Local Clinic,Healthcare
TX0241,2024-08-15,12:28:00,445.5,Doctor appointment fee,Walgreens,Healthcare
TX0242,2024-05-18,15:07:00,170.85,Monthly bill payment,Mobile Carrier,Bills
TX0243,2025-02-07,15:11:00,42.07,Streaming subscription,Spotify,Entertainment
TX0244,2025-03-27,08:31:00,81.14,Bulk food items,Walmart,Groceries
TX0245,2025-03-20,18:11:00,29.63,Taxi service,Uber,Transportation
TX0246,2024-06-07,20:57:00,112.78,Health supplement,Walgreens,Healthcare
TX0247,2025-02-13,12:02:00,294.81,Doctor appointment fee,Local Clinic,Healthcare
TX0248,2024-05-07,22:46:00,13.66,Lunch meal,Starbucks,Food & Beverage
TX0249,2024-05-09,20:30:00,157.67,Bulk food items,Target,Groceries
TX0250,2024-10-15,08:27:00,1121.79,Electricity bill,Internet Provider,Bills
TX0251,2024-10-29,20:40:00,8.55,Coffee purchase,McDonalds,Food & Beverage
TX0252,2025-01-26,22:20:00,26.72,Bulk food items,Walmart,Groceries
TX0253,2024-06-12,12:26:00,41.38,Supermarket shopping,Target,Groceries
TX0254,2025-02-22,20:30:00,96.61,Grocery store purchase,Target,Groceries
TX0255,2024-11-30,20:43:00,113.14,Supermarket shopping,Costco,Groceries
TX0256,2025-03-21,18:39:00,133.97,Supermarket shopping,Walmart,Groceries
TX0257,2024-09-17,08:43:00,146.34,Bulk food items,Costco,Groceries
TX0258,2024-06-27,18:57:00,50.47,Dinner at restaurant,Starbucks,Food & Beverage
TX0259,2025-02-16,22:11:00,138.38,Electricity bill,Internet Provider,Bills
TX0260,2025-03-20,08:52:00,38.02,Movie tickets,Spotify,Entertainment
TX0261,2024-11-23,08:07:00,25.53,Dinner at restaurant,Starbucks,Food & Beverage
TX0262,2025-01-12,20:39:00,65.85,Taxi service,Uber,Transportation
TX0263,2024-09-07,20:12:00,140.52,Streaming subscription,Netflix,Entertainment
TX0264,2025-02-27,08:25:00,47.0,Supermarket shopping,Costco,Groceries
TX0265,2024-05-22,20:57:00,43.17,Concert tickets,Netflix,Entertainment
TX0266,2024-10-22,08:38:00,267.79,Internet bill,Local Utility,Bills
TX0267,2024-04-16,20:59:00,21.05,Dinner at restaurant,McDonalds,Food & Beverage
TX0268,2024-11-03,20:29:00,45.04,Streaming subscription,AMC Theatres,Entertainment
TX0269,2024-08-07,12:32:00,179.98,Electricity bill,Internet Provider,Bills
TX0270,2024-08-26,08:48:00,191.74,Supermarket shopping,Walmart,Groceries
TX0271,2024-09-11,22:40:00,159.58,Pharmacy purchase,Walgreens,Healthcare
TX0272,2025-01-22,20:04:00,94.94,Grocery store purchase,Walmart,Groceries
TX0273,2024-09-19,18:06:00,94.58,Movie tickets,AMC Theatres,Entertainment
TX0274,2025-03-10,20:02:00,275.9,Internet bill,Internet Provider,Bills
TX0275,2024-12-19,18:36:00,113.72,Internet bill,Mobile Carrier,Bills
TX0276,2024-05-18,20:33:00,30.71,Lunch meal,Starbucks,Food & Beverage
TX0277,2025-02-09,15:39:00,49.05,Taxi service,Lyft,Transportation
TX0278,2024-12-12,20:16:00,233.93,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0279,2025-02-23,20:50:00,24.69,Movie tickets,Netflix,Entertainment
TX0280,2025-01-08,15:27:00,45.9,Bulk food items,Walmart,Groceries
TX0281,2024-04-12,18:13:00,95.84,Streaming subscription,Spotify,Entertainment
TX0282,2024-12-02,18:04:00,140.97,Supermarket shopping,Walmart,Groceries
TX0283,2024-05-24,12:44:00,10.34,Coffee purchase,Dunkin,Food & Beverage
TX0284,2024-07-12,20:37:00,8.01,Coffee purchase,Subway,Food & Beverage
TX0285,2024-04-19,18:21:00,243.84,Electricity bill,Local Utility,Bills
TX0286,2024-09-27,18:26:00,8.56,Lunch meal,Dunkin,Food & Beverage
TX0287,2024-11-19,20:26:00,160.24,Supermarket shopping,Walmart,Groceries
TX0288,2025-03-24,18:55:00,88.7,Grocery store purchase,Target,Groceries
TX0289,2024-04-02,20:45:00,28.58,Lunch meal,McDonalds,Food & Beverage
TX0290,2024-09-20,18:45:00,49.93,Taxi service,Lyft,Transportation
TX0291,2024-04-03,20:26:00,442.52,Doctor appointment fee,CVS Pharmacy,Healthcare
TX0292,2024-07-14,18:05:00,123.63,Electricity bill,Local Utility,Bills
TX0293,2024-04-06,08:32:00,68.08,Taxi service,Lyft,Transportation
TX0294,2024-07-16,20:36:00,24.72,Taxi service,Local Transit,Transportation
TX0295,2024-11-28,18:54:00,87.74,Bulk food items,Walmart,Groceries
TX0296,2024-10-05,15:07:00,69.76,Taxi service,Lyft,Transportation
TX0297,2024-06-01,18:58:00,136.07,Grocery store purchase,Target,Groceries
TX0298,2024-06-29,18:33:00,82.98,Supermarket shopping,Walmart,Groceries
TX0299,2024-05-13,22:34:00,192.94,Health supplement,CVS Pharmacy,Healthcare
TX0300,2024-05-04,22:24:00,405.75,Monthly bill payment,Mobile Carrier,Bills
TX0301,2025-02-11,12:37:00,120.18,Supermarket shopping,Target,Groceries
TX0302,2025-01-14,18:25:00,98.88,Movie tickets,Netflix,Entertainment
TX0303,2024-07-11,08:43:00,179.26,Supermarket shopping,Target,Groceries
TX0304,2025-01-11,15:48:00,400.86,Health supplement,CVS Pharmacy,Healthcare
TX0305,2024-10-16,20:18:00,45.57,Taxi service,Local Transit,Transportation
TX0306,2025-01-18,18:22:00,65.01,Streaming subscription,Netflix,Entertainment
TX0307,2025-03-12,22:05:00,86.22,Movie tickets,Netflix,Entertainment
TX0308,2024-05-28,20:31:00,29.36,Ride fare,Uber,Transportation
TX0309,2025-03-14,18:47:00,101.36,Internet bill,Internet Provider,Bills
TX0310,2024-06-12,12:37:00,126.5,Bulk food items,Target,Groceries
TX0311,2024-09-19,18:38:00,7.09,Bus ticket,Local Transit,Transportation
TX0312,2025-03-21,18:17:00,37.52,Movie tickets,Spotify,Entertainment
TX0313,2024-06-30,12:02:00,410.83,Electricity bill,Local Utility,Bills
TX0314,2025-02-15,22:52:00,37.64,Bus ticket,Uber,Transportation
TX0315,2024-12-26,22:01:00,7.2,Ride fare,Local Transit,Transportation
TX0316,2024-08-15,22:20:00,466.2,Health supplement,CVS Pharmacy,Healthcare
TX0317,2025-02-01,08:21:00,15.47,Concert tickets,Spotify,Entertainment
TX0318,2024-09-02,08:12:00,14.5,Ride fare,Lyft,Transportation
TX0319,2025-02-11,18:14:00,48.25,Movie tickets,Spotify,Entertainment
TX0320,2025-01-08,08:51:00,151.47,Internet bill,Mobile Carrier,Bills
TX0321,2024-05-06,15:02:00,54.37,Streaming subscription,AMC Theatres,Entertainment
TX0322,2024-06-12,18:25:00,50.42,Concert tickets,Netflix,Entertainment
TX0323,2024-04-12,12:14:00,98.53,Electricity bill,Mobile Carrier,Bills
TX0324,2025-01-11,22:51:00,27.51,Lunch meal,McDonalds,Food & Beverage
TX0325,2024-09-27,18:24:00,236.26,Doctor appointment fee,Walgreens,Healthcare
TX0326,2024-11-25,20:02:00,262.66,Monthly bill payment,Mobile Carrier,Bills
TX0327,2024-07-29,12:59:00,19.22,Dinner at restaurant,McDonalds,Food & Beverage
TX0328,2024-04-14,15:21:00,118.39,Monthly bill payment,Internet Provider,Bills
TX0329,2025-03-10,15:28:00,98.96,Concert tickets,Spotify,Entertainment
TX0330,2024-08-01,22:26:00,133.59,Electricity bill,Internet Provider,Bills
TX0331,2024-10-24,22:31:00,18.81,Ride fare,Lyft,Transportation
TX0332,2024-05-16,18:23:00,52.2,Supermarket shopping,Walmart,Groceries
TX0333,2024-06-15,22:33:00,130.7,Supermarket shopping,Walmart,Groceries
TX0334,2025-03-05,18:29:00,155.4,Monthly bill payment,Local Utility,Bills
TX0335,2024-06-08,20:27:00,26.41,Bus ticket,Uber,Transportation
TX0336,2025-01-22,20:10:00,99.06,Movie tickets,Spotify,Entertainment
TX0337,2024-07-14,12:52:00,15.58,Taxi service,Local Transit,Transportation
TX0338,2024-09-08,20:11:00,90.15,Concert tickets,Spotify,Entertainment
TX0339,2024-12-22,20:28:00,9.76,Ride fare,Local Transit,Transportation
